,Synopsis,Title,Price
10,"There is a new awakening in India that is challenging the ongoing Westernization of the discourse about India. Battle for Sanskrit seeks to alert traditional scholars of Sanskrit and sanskriti - Indian civilization - concerning an important school of thought that has its base in the US and that has started to dominate the discourse on the cultural, social and political aspects of India. The scholars of this field hold that many Sanskrit texts are socially oppressive and serve as political weapons in the hands of the ruling elite; that the sacred aspects need to be refuted; and that Sanskrit has long been dead. The traditional Indian experts would outright reject or at least question these positions. Is each view exclusive of the other, or can there be a bridge between them?",Battle for Sanskrit: Is Sanskrit Political or Sacred? Oppressive or Liberating? Dead or Alive?,373.0
11,"THE DEFINITIVE BOOK ON HOW THE TECHNOLOGY BEHIND BITCOIN AND CRYPTOCURRENCY IS CHANGING THE WORLD.
'Blockchain Revolution is a highly readable introduction to a bamboozling but increasingly important field' - Guardian
Blockchain is the ingeniously simple technology that powers Bitcoin. But it is much more than that, too. It is a public ledger to which everyone has access, but which no single person controls. It allows for companies and individuals to collaborate with an unprecedented degree of trust and transparency. It is cryptographically secure, but fundamentally open. And soon it will be everywhere.
In Blockchain Revolution, Don and Alex Tapscott reveal:
· how this game-changing technology will shape the future of the world economy
· how it will improve everything from healthcare records to online voting, and from insurance claims to artist royalty payments
Brilliantly researched and highly accessible, this is the essential text on the next major paradigm shift. Read it, or be left behind.
-----
'This book has had an enormous impact on the evolution of blockchain in the world' Satya Nadella, CEO, Microsoft

'Spectacular. Mind-blowing in its expansiveness and profundity' Steve Wozniak, co-founder of Apple

'Iconic' Clay Christensen, author of The Innovator's Dilemma
'Occasionally a book comes along that changes the global discourse. This is likely to be one of those books.' Klaus Schwab, Founder and Executive Chairman of the World Economic Forum",Blockchain Revolution: How the Technology Behind Bitcoin and Other Cryptocurrencies is Changing the World,309.0
12,"Set in the turbulent days of the founding of Hong Kong in the 1840s, Tai-Pan is the story of Dirk Struan, the ruler - the Tai-Pan - of the most powerful trading company in the Far East. He is also a pirate, an opium smuggler, and a master manipulator of men. This is the story of his fight to establish himself and his dynasty as the undisputed masters of the Orient.",Tai-Pan: The Second Novel of the Asian Saga,379.0
13,"The Art of Shaolin Kung Fu is the ultimate guide to Kung Fu, from theory to practical application.

This unique martial arts book, by a renowned Grandmaster, is a complete and comprehensive introduction to Kung Fu and all other aspects of ancient Shaolin wisdom. You will learn the ancient art of the Shaolin monks from the famous Shaolin monastery. It will prove invaluable to everyone interested in martial arts, chi kung, and meditation, showing how Kung Fu and other Shaolin arts can bring you health, vitality, mental focus, and spiritual joy.

Chapters include:
What is Kung Fu?—Four Aspects of Kung Fu; The Importance of Force Training; Application for Combat and Daily Living; Kung Fu Philosophy for Deeper Understanding; The Benefits of Kung Fu
The Historical Development of Chinese Martial Arts—Kung Fu in Prehistoric and Ancient Times; The Glorious Han and Tang; The Modern Period
From Shaolin to Taijiquan—Shaolin Kung Fu; The Various Styles of Taijiquan; Soft and Hard, Internal and External
A Comparative Study of Kung Fu—Contrasting Shaolin and Wudang Kung Fu; Xingyi Kung Fu and Taoist Concepts; Tanglangquan or Praying Mantis Kung Fu; The Spread of Southern Kung Fu
Defining Aims and Objectives—Setting Aims for Kung Fu Training; Personal Objectives; Course Objectives
The Foundation of Shaolin Kung Fu—Inheritance from Past Masters; Various Shaolin Hand Forms; Basic Shaolin Patterns
From Form to Combat Application—The Four Directions of Attack; The Principles of Effective Combat; Specific Techniques Against Kicks
Combat Sequences and Set Practice—Relieving Injuries Sustained in Sparring; Composing Your Own Kung Fu Sets
Shaolin Five Animals—Understanding Characteristics and Essence; The Five-Animal Set; The Names of the Five-Animal Patterns
Five-Animal Combination Set—How to Improve Combat Efficiency; Spacing and Timing in Combat
The Internal Force of Shaolin Kung Fu—The Relationship Between Technique and Force; The Compassionate Art of Qin-Na; The Internal Force of Tiger Claw
Tactics and Strategies—Using Continuous Attack Effectively; A Tactic to Distract Your Opponent; Selecting Strategies to Suit Particular Situations
Classical Kung Fu Weapons—Staffs; Whips, Knives and Other Weapons; Light and Heavy Weapons
Understanding and Developing Chi—The Various Genres of Chi Kung; Lohan Embracing Buddha; Abdominal Breathing
Shaolin Kung Fu and Zen—Culitvating Heart, Nourishing Nature; Bodhidharma and Taoism in Zen
The Shaolin Way to Enlightenment—Attaining a Focused Mind; Meditation to Train Awareness; Shaolin Kung Fu for Spiritual Development","The Art of Shaolin Kung Fu: The Secrets of Kung Fu for Self-Defense, Health, and Enlightenment (Tuttle Martial Arts)",1066.0
14,"Anil's Ghost transports us to Sri Lanka, a country steeped in centuries of tradition, now forced into the late twentieth century by the ravages of a bloody civil war. Enter Anil Tissera, a young woman and forensic anthropologist born in Sri Lanka but educted in the West, sent by an international human rights group to identify the victims of the murder campaigns sweeping the island.

When Anil discovers that the bones found in an ancient burial site are in fact those of a much more recent victim, her search for the terrible truth hidden in her homeland begins. What follows is a story about love, about family, about identity - a story driven by a riventing mystery.",Anil's Ghost,381.22
15,"One day, an alien orphan crash-lands on Earth and is adopted by a human couple, the Kents. Many years later, that little baby becomes Superman, protector of Earth! But how did the Man of Steel go from orphan to super hero? Experience Clark Kent's incredible journey in this action-packed chapter book for early readers featuring vibrant art by DC Comics illustrators.",Superman: An Origin Story (DC Comics Super Heroes),287.0
16,"London is one of the most exciting cities in the world! But if you are a young visitor where should you go and what should you look out for?
Go for a ride on the London Eye, watch street performer spectacles at Covent Garden and stand under a life-sized model of a blue whale at the Natural History Museum. In this revised and updated edition of the much-loved My First Book of London, a fun question-and-answer format introduces young readers to the famous sights of this fascinating city. Stunning illustrations bring each feature to life and provide an ideal way for your child to learn about London and the fun of exploring it!",My First Book of London,162.0
17,"A new series of prose novels, straight from the worldwide Naruto franchise. Naruto’s allies and enemies take center stage in these fast-paced adventures, with each volume focusing on a particular clan mate, ally, team…or villain.

Uchiha Itachi, four years of age. With the hell of war burned into his eyes, the boy makes a resolution: he will rid this world of all violence. The birth of Sasuke, meeting his friend Shisui, the academy, genin, chunin, and then the Anbu—Itachi races down the path of glory toward his dream of becoming the first Uchiha Hokage, unaware of the darkness that lies ahead… ","Naruto: Itachi's Story, Vol. 1: Daylight",587.0
18,"A brilliant and concise account of the lives and ideas of the great philosophers—Plato, Aristotle, Bacon, Spinoza, Voltaire, Kant, Schopenhauer, Spencer, Nietzsche, Bergson, Croce, Russell, Santayana, James, and Dewey—The Story of Philosophy is one of the great books of our time. Few write for the non-specialist as well as Will Durant, and this book is a splendid example of his eminently readable scholarship. Durant’s insight and wit never cease to dazzle; The Story of Philosophy is a key book for any reader who wishes to survey the history and development of philosophical ideas in the Western world.",The Story of Philosophy,291.0
19,"Introducing Data Science explains vital data science concepts and teaches you how to accomplish the fundamental tasks that occupy data scientists. You’ll explore data visualization, graph databases, the use of NoSQL, and the data science process. You’ll use the Python language and common Python libraries as you experience firsthand the challenges of dealing with data at scale. Discover how Python allows you to gain insights from data sets so big that they need to be stored on multiple machines, or from data moving so quickly that no single machine can handle it.","Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools",352.0
